time,rank,id,title
00:30,1,730,"Counter-Strike 2"
00:30,2,1623730,"Palworld"
00:30,3,570,"Dota 2"
00:30,4,578080,"PUBG: BATTLEGROUNDS"
00:30,5,3678970,"TBH: Task Bar Hero"
00:30,6,1172470,"Apex Legends™"
00:30,7,3419430,"Bongo Cat"
00:30,8,2676230,"FiveM"
00:30,9,250900,"The Binding of Isaac: Rebirth"
00:30,10,2507950,"Delta Force"
00:30,11,3405690,"EA SPORTS FC™ 26"
00:30,12,252490,"Rust"
00:30,13,413150,"Stardew Valley"
00:30,14,431960,"Wallpaper Engine"
00:30,15,3240220,"Grand Theft Auto V Enhanced"
00:30,16,2868840,"Slay the Spire 2"
00:30,17,271590,"Grand Theft Auto V Legacy"
00:30,18,381210,"Dead by Daylight"
00:30,19,1203220,"NARAKA: BLADEPOINT"
00:30,20,230410,"Warframe"
00:30,21,881020,"Granblue Fantasy: Relink"
00:30,22,1091500,"Cyberpunk 2077"
00:30,23,2767030,"Marvel Rivals"
00:30,24,2694490,"Path of Exile 2"
00:30,25,322330,"Don't Starve Together"
00:30,26,236390,"War Thunder"
00:30,27,1086940,"Baldur's Gate 3"
00:30,28,2357570,"Overwatch®"
00:30,29,394360,"Hearts of Iron IV"
00:30,30,438100,"VRChat"
00:30,31,1085660,"Destiny 2"
00:30,32,251570,"7 Days to Die"
00:30,33,480,"Spacewar"
00:30,34,227300,"Euro Truck Simulator 2"
00:30,35,440,"Team Fortress 2"
00:30,36,359550,"Tom Clancy's Rainbow Six Siege"
00:30,37,1174180,"Red Dead Redemption 2"
00:30,38,221100,"DayZ"
00:30,39,322170,"Geometry Dash"
00:30,40,1973530,"Limbus Company"
00:30,41,2399830,"ARK: Survival Ascended"
00:30,42,2807960,"Battlefield™ 6"
00:30,43,289070,"Sid Meier's Civilization VI"
00:30,44,105600,"Terraria"
00:30,45,261550,"Mount & Blade II: Bannerlord"
00:30,46,3551340,"Football Manager 26"
00:30,47,2300320,"Farming Simulator 25"
00:30,48,1281930,"tModLoader"
00:30,49,1245620,"ELDEN RING"
00:30,50,2483190,"Forza Horizon 6"
00:30,51,3241660,"R.E.P.O."
00:30,52,294100,"RimWorld"
00:30,53,1366800,"Crosshair X"
00:30,54,553850,"HELLDIVERS™ 2"
00:30,55,3472040,"NBA 2K26"
00:30,56,108600,"Project Zomboid"
00:30,57,550,"Left 4 Dead 2"
00:30,58,1142710,"Total War: WARHAMMER III"
00:30,59,2622380,"ELDEN RING NIGHTREIGN"
00:30,60,1808500,"ARC Raiders"
00:30,61,3513350,"Wuthering Waves"
00:30,62,1938090,"Call of Duty®"
00:30,63,582010,"Monster Hunter: World"
00:30,64,2073620,"Arena Breakout: Infinite"
00:30,65,1868140,"DAVE THE DIVER"
00:30,66,1222670,"The Sims™ 4"
00:30,67,489830,"The Elder Scrolls V: Skyrim Special Edition"
00:30,68,292030,"The Witcher 3: Wild Hunt"
00:30,69,2246340,"Monster Hunter Wilds"
00:30,70,594650,"Hunt: Showdown 1896"
00:30,71,2344520,"Diablo® IV"
00:30,72,1364780,"Street Fighter™ 6"
00:30,73,3932890,"Escape from Tarkov"
00:30,74,1771300,"Kingdom Come: Deliverance II"
00:30,75,346110,"ARK: Survival Evolved"
00:30,76,4000,"Garry's Mod"
00:30,77,218620,"PAYDAY 2"
00:30,78,1158310,"Crusader Kings III"
00:30,79,1905180,"OBS Studio"
00:30,80,526870,"Satisfactory"
00:30,81,1326470,"Sons Of The Forest"
00:30,82,813780,"Age of Empires II: Definitive Edition"
00:30,83,892970,"Valheim"
00:30,84,1665460,"eFootball™"
00:30,85,284160,"BeamNG.drive"
00:30,86,427520,"Factorio"
00:30,87,1426210,"It Takes Two"
00:30,88,3564740,"Where Winds Meet"
00:30,89,3321460,"Crimson Desert"
00:30,90,2252570,"Football Manager 2024"
00:30,91,582660,"Black Desert"
00:30,92,281990,"Stellaris"
00:30,93,3527290,"PEAK"
00:30,94,766570,"Russian Fishing 4"
00:30,95,2183900,"Warhammer 40,000: Space Marine 2"
00:30,96,457140,"Oxygen Not Included"
00:30,97,2139460,"Once Human"
00:30,98,393380,"Squad"
00:30,99,4025700,"Heartopia"
00:30,100,1818450,"STALCRAFT: X"
01:00,1,730,"Counter-Strike 2"
01:00,2,1623730,"Palworld"
01:00,3,570,"Dota 2"
01:00,4,578080,"PUBG: BATTLEGROUNDS"
01:00,5,3678970,"TBH: Task Bar Hero"
01:00,6,1172470,"Apex Legends™"
01:00,7,3419430,"Bongo Cat"
01:00,8,2676230,"FiveM"
01:00,9,250900,"The Binding of Isaac: Rebirth"
01:00,10,2507950,"Delta Force"
01:00,11,3405690,"EA SPORTS FC™ 26"
01:00,12,252490,"Rust"
01:00,13,413150,"Stardew Valley"
01:00,14,431960,"Wallpaper Engine"
01:00,15,3240220,"Grand Theft Auto V Enhanced"
01:00,16,2868840,"Slay the Spire 2"
01:00,17,271590,"Grand Theft Auto V Legacy"
01:00,18,381210,"Dead by Daylight"
01:00,19,1203220,"NARAKA: BLADEPOINT"
01:00,20,230410,"Warframe"
01:00,21,881020,"Granblue Fantasy: Relink"
01:00,22,1091500,"Cyberpunk 2077"
01:00,23,2767030,"Marvel Rivals"
01:00,24,2694490,"Path of Exile 2"
01:00,25,322330,"Don't Starve Together"
01:00,26,236390,"War Thunder"
01:00,27,1086940,"Baldur's Gate 3"
01:00,28,2357570,"Overwatch®"
01:00,29,394360,"Hearts of Iron IV"
01:00,30,438100,"VRChat"
01:00,31,1085660,"Destiny 2"
01:00,32,251570,"7 Days to Die"
01:00,33,480,"Spacewar"
01:00,34,227300,"Euro Truck Simulator 2"
01:00,35,440,"Team Fortress 2"
01:00,36,359550,"Tom Clancy's Rainbow Six Siege"
01:00,37,1174180,"Red Dead Redemption 2"
01:00,38,221100,"DayZ"
01:00,39,322170,"Geometry Dash"
01:00,40,1973530,"Limbus Company"
01:00,41,2399830,"ARK: Survival Ascended"
01:00,42,2807960,"Battlefield™ 6"
01:00,43,289070,"Sid Meier's Civilization VI"
01:00,44,105600,"Terraria"
01:00,45,261550,"Mount & Blade II: Bannerlord"
01:00,46,3551340,"Football Manager 26"
01:00,47,2300320,"Farming Simulator 25"
01:00,48,1281930,"tModLoader"
01:00,49,1245620,"ELDEN RING"
01:00,50,2483190,"Forza Horizon 6"
01:00,51,3241660,"R.E.P.O."
01:00,52,294100,"RimWorld"
01:00,53,1366800,"Crosshair X"
01:00,54,553850,"HELLDIVERS™ 2"
01:00,55,3472040,"NBA 2K26"
01:00,56,108600,"Project Zomboid"
01:00,57,550,"Left 4 Dead 2"
01:00,58,1142710,"Total War: WARHAMMER III"
01:00,59,2622380,"ELDEN RING NIGHTREIGN"
01:00,60,1808500,"ARC Raiders"
01:00,61,3513350,"Wuthering Waves"
01:00,62,1938090,"Call of Duty®"
01:00,63,582010,"Monster Hunter: World"
01:00,64,2073620,"Arena Breakout: Infinite"
01:00,65,1868140,"DAVE THE DIVER"
01:00,66,1222670,"The Sims™ 4"
01:00,67,489830,"The Elder Scrolls V: Skyrim Special Edition"
01:00,68,292030,"The Witcher 3: Wild Hunt"
01:00,69,2246340,"Monster Hunter Wilds"
01:00,70,594650,"Hunt: Showdown 1896"
01:00,71,2344520,"Diablo® IV"
01:00,72,1364780,"Street Fighter™ 6"
01:00,73,3932890,"Escape from Tarkov"
01:00,74,1771300,"Kingdom Come: Deliverance II"
01:00,75,346110,"ARK: Survival Evolved"
01:00,76,4000,"Garry's Mod"
01:00,77,218620,"PAYDAY 2"
01:00,78,1158310,"Crusader Kings III"
01:00,79,1905180,"OBS Studio"
01:00,80,526870,"Satisfactory"
01:00,81,1326470,"Sons Of The Forest"
01:00,82,813780,"Age of Empires II: Definitive Edition"
01:00,83,892970,"Valheim"
01:00,84,1665460,"eFootball™"
01:00,85,284160,"BeamNG.drive"
01:00,86,427520,"Factorio"
01:00,87,1426210,"It Takes Two"
01:00,88,3564740,"Where Winds Meet"
01:00,89,3321460,"Crimson Desert"
01:00,90,2252570,"Football Manager 2024"
01:00,91,582660,"Black Desert"
01:00,92,281990,"Stellaris"
01:00,93,3527290,"PEAK"
01:00,94,766570,"Russian Fishing 4"
01:00,95,2183900,"Warhammer 40,000: Space Marine 2"
01:00,96,457140,"Oxygen Not Included"
01:00,97,2139460,"Once Human"
01:00,98,393380,"Squad"
01:00,99,4025700,"Heartopia"
01:00,100,1818450,"STALCRAFT: X"
